City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,keningau,5.3378,116.1602,296.15,98,82,0.79,MY,1683827486
270,coruripe,-10.1256,-36.1756,301.95,69,49,5.78,BR,1683827487
271,bandiagara,14.3501,-3.6104,311.99,6,94,1.17,ML,1683827490
272,coquimbo,-29.9533,-71.3436,290.0,77,20,2.57,CL,1683827218
273,happy valley-goose bay,53.3168,-60.3315,284.32,22,40,7.72,CA,1683827225
274,sinabang,2.4803,96.3801,300.97,84,97,4.15,ID,1683827492
275,ta`u,-14.2336,-169.5144,300.71,78,41,4.66,AS,1683827493
276,lulea,65.5842,22.1547,283.19,66,0,2.06,SE,1683827493
277,jutai,-5.1833,-68.9,301.46,77,96,0.63,BR,1683827494
278,puerto armuelles,8.2833,-82.8667,306.14,68,15,3.25,PA,1683827494
279,lake albert,-35.1667,147.3833,281.14,85,0,1.86,AU,1683827495
280,tazovsky,67.4667,78.7,254.42,100,36,3.38,RU,1683827496
281,crepy-en-valois,49.2336,2.8881,288.77,68,69,2.24,FR,1683827496
282,weihai,37.5017,122.1136,288.69,48,100,4.59,CN,1683827497
283,kailua-kona,19.6406,-155.9956,297.92,78,40,2.06,US,1683827497
284,arvayheer,46.2639,102.775,275.03,80,23,2.0,MN,1683827498
285,cadale,2.7603,46.3222,300.47,83,100,7.25,SO,1683827498
286,vila franca do campo,37.7167,-25.4333,291.38,89,78,2.84,PT,1683827499
287,al kharijah,25.4514,30.5464,304.75,14,0,5.41,EG,1683827500
288,gadzhiyevo,69.2551,33.3362,275.87,100,100,2.25,RU,1683827500
289,mount hagen,-5.8581,144.2274,288.11,98,100,0.87,PG,1683827501
290,warka,51.7843,21.1909,290.08,65,26,6.55,PL,1683827501
291,poso,-1.3959,120.7524,298.07,93,97,3.32,ID,1683827502
292,la porte,29.6658,-95.0194,303.77,71,40,8.75,US,1683827395
293,kenora,49.8167,-94.4337,293.69,60,40,3.09,CA,1683827503
294,angra do heroismo,38.65,-27.2167,292.66,86,75,0.45,PT,1683827504
295,beloomut,54.9448,39.3394,281.72,92,77,2.51,RU,1683827505
296,mata-utu,-13.2816,-176.1745,301.55,70,97,7.81,WF,1683827505
297,kencong,-8.2833,113.3667,297.94,94,100,1.38,ID,1683827506
